A0,A2,A4,A5
36151,车辆,道路 运输 车辆,交通 运输
36146,车辆,道路 运输 车辆,交通 运输
36147,车辆,道路 运输 车辆,交通 运输
36148,车辆,道路 运输 车辆,交通 运输
36175,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36196,交通 行政,燃油 储运 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36197,交通 行政,梅兰 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36198,交通 行政,新东方 集装箱 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
36193,交通 行政,港龙 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36194,交通 行政,宏川 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36195,交通 行政,股份 分公司 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36199,交通 行政,新荣泰 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
36231,准予 行政,社会 团体 章程 核准,民政
36380,车辆,更新,交通 运输
36381,车辆,更新,交通 运输
36209,建设 工程规划 许可证,建筑面积,行政 审批
36210,建设 工程规划 许可证,建筑面积,行政 审批
36228,广告 设置,广告,人民政府
36192,交通 行政,港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36189,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36190,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
36188,交通 行政,新东方 集装箱 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
36186,交通 行政,保税区 国际 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36187,交通 行政,股份 分公司 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36176,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36177,交通 行政,石油 天然气 股份 销售 分公司 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36191,交通 行政,粮食 转库 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36184,车辆,更新,交通 运输
36183,车辆,道路 运输 车辆,交通 运输
37124,交通 行政,准予 发证,公路 管理
36870,交通 行政,准予 发证,公路 管理
33991,装置 设计 行政,高性能 颜料 颜料 项目 装置 设计,气象
35215,药品 备案,药品 管理 办法 喷丁 胶囊 有效期 备案 药品 有效期 变更,药品 监督 管理
34203,商品房 预售 许可证,学府 熙园,城乡 建设
35217,药品 备案,药品 管理 办法 喷丁 胶囊 有效期 备案 药品 有效期 变更,药品 监督 管理
33124,行政 药房 佳美 药品 经营,药品 零售,行政 审批
33125,工作岗位 工时 工作制,工时,人力资源 社会保障
33488,准予 许庄 街道 社区 居家 养老 服务站 变更 登记,准予 许庄 街道 社区 居家 养老 服务站 变更 登记,民政
